Card Type Full Name,Issuing Bank,Card Number,Card Holder's Name,CVV/CVV2,Issue Date,Expiry Date,Billing Date,Card PIN,Credit Limit,Fraud
Japan Credit Bureau,JCB,3.53109E+15,Samuel O Fry,81,Nov-10,Nov-14,5,3065,95100,0
Visa,Wells Fargo,4.35366E+15,Theodora Mcabee,954,Sep-10,Sep-15,3,5085,52100,0
American Express,American Express,3.7582E+14,Holly S Britt,7365,Aug-08,Aug-19,15,699,191800,1
Discover,Discover,6.01197E+15,Alissa V Desantis,902,Mar-12,Mar-18,25,3210,61200,0
Japan Credit Bureau,JCB,3.58593E+15,Susan P Wood,496,Jan-07,Jan-08,12,4493,145500,0
Diners Club International,Diners Club,3.03789E+13,Elanor O Byer,222,Sep-07,Sep-27,22,3566,90500,0
Japan Credit Bureau,JCB,3.54923E+15,Jonathan M Oneil,326,Mar-14,Mar-15,17,9458,125100,0
Master Card,Capital One,5.35044E+15,Vern E Lapointe,866,Oct-07,Oct-17,14,6827,163500,0
Visa,Citibank,4.18325E+15,Dustin C Hess,638,Jan-13,Jan-33,8,6457,180000,0
Japan Credit Bureau,JCB,3.547E+15,Raleigh Vincent,658,Jan-13,Jan-19,9,1730,150900,0
Discover,Discover,6.01106E+15,Micheal N Daugherty,117,Sep-15,Sep-17,1,5301,70200,0
Japan Credit Bureau,JCB,3.58256E+15,Gerald D Tsai,356,Nov-16,Nov-34,13,795,186300,0
American Express,American Express,3.70489E+14,Marjorie English,9525,Mar-12,Mar-22,2,2563,14300,0
Visa,Chase,4.05893E+15,Anamaria Balderas,605,Aug-08,Aug-11,7,1882,37300,0
Visa,Chase,4.53752E+15,Bill U Snyder,966,May-07,May-09,14,1936,199700,0
Discover,Discover,6.01115E+15,Janise Sanders,561,Feb-15,Feb-28,20,2112,99500,0
Master Card,Bank of America,5.18574E+15,Pamela A Jenkins,294,Apr-13,Apr-19,17,7442,178100,0
Visa,Chase,4.86398E+15,Osvaldo Y Ewing,600,Oct-16,Oct-20,25,3252,73600,0
American Express,American Express,3.40362E+14,Tiffany F Frazier,7846,Mar-07,Mar-12,8,2302,76300,0
American Express,U.S. Bancorp,3.73998E+14,Teresia F Kunkel,747,Jan-17,Jan-29,14,90,180700,1
American Express,USAA,3.76247E+14,Teresa X Mcbride,6722,Sep-09,Sep-20,6,8784,88100,0
Discover,Discover,6.01107E+15,Mechelle M Batty,832,Jun-12,Jun-13,16,5898,120400,0
Master Card,Barclays,5.10956E+15,Vanessa Huffman,398,Oct-11,Oct-18,20,6845,82400,0
Visa,Citibank,4.84014E+15,Corinna R Kopp,135,Feb-13,Feb-21,22,1512,150700,1
Diners Club International,Diners Club,3.09448E+13,Peggy L Maddox,422,Apr-15,Apr-18,16,1865,70900,0
Diners Club International,Diners Club,3.68918E+13,Natalia Catalan,40,Mar-16,Mar-23,3,7117,160500,0
Japan Credit Bureau,JCB,3.5413E+15,Willie D Hayes,585,Jul-13,Jul-26,24,4304,44000,0
Diners Club International,Diners Club,3.0101E+13,Nicholas L Hwang,314,May-08,May-24,20,8288,67800,0
Visa,U.S. Bancorp,4.43267E+15,Frances M Fitzpatrick,722,Feb-13,Feb-22,4,6580,11400,0
Discover,Discover,6.47118E+15,Shawn A Rudnick,975,Aug-09,Aug-14,10,346,170800,1
Master Card,U.S. Bancorp,5.40029E+15,Tyler I Brady,143,Sep-15,Sep-20,5,4990,184700,1
Master Card,Bank of America,5.23751E+15,Aleen F Gower,798,Jun-13,Jun-25,20,7610,128300,0
Discover,Discover,6.0118E+15,Darlene R Abbott,722,Oct-16,Oct-17,15,6976,140000,0
Discover,Discover,6.01132E+15,Jackelyn M Cookson,758,Jun-17,Jun-28,11,6573,42400,0
Discover,Discover,6.01199E+15,Vernon V Ferguson,372,Jul-08,Jul-19,26,6566,35500,0
Japan Credit Bureau,JCB,3.5432E+15,Bambi Z Hartmann,987,Apr-14,Apr-19,4,4610,135500,1
Discover,Discover,6.01151E+15,Charles Z Bryant,446,Aug-07,Aug-23,11,3281,156300,0
Visa,Chase,4.00096E+15,Reynaldo M Fricke,176,May-13,May-20,15,8239,117900,0
Master Card,Bank of America,5.22957E+15,Gregory Benson,101,Aug-07,Aug-25,12,2333,53700,0
Diners Club International,Diners Club,3.09076E+13,Lou Farnham,133,Sep-08,Sep-13,3,7519,155300,1
Diners Club International,Diners Club,3.09947E+13,Gail A Hughes,679,Sep-09,Sep-16,8,6434,111500,1
Master Card,Citibank,5.42021E+15,Connie Bevan,42,Nov-08,Nov-20,24,5648,65800,0
Discover,Discover,6.22693E+15,Manuel Lindsay,714,May-17,May-30,21,2004,57100,0
Visa,Chase,4.7811E+15,Brian Kinsey,567,Jun-10,Jun-19,15,5314,80500,0
American Express,American Express,3.74378E+14,Eric D Powell,1921,Mar-10,Mar-22,5,5120,197000,1
American Express,American Express,3.70611E+14,Leslie A Wesley,5069,Sep-13,Sep-26,26,5870,83700,0
Visa,Chase,4.07216E+15,Valerie T Vazquez,563,Jan-10,Jan-17,14,4992,178100,1
American Express,American Express,3.40963E+14,Dorsey Falk,3051,Dec-16,Dec-33,14,7885,191300,1
Discover,Discover,6.01124E+15,Andrew Q Ochoa,76,Nov-12,Nov-27,17,5300,11300,0
Visa,Chase,4.47394E+15,Jestine Segura,904,Oct-11,Oct-28,20,4150,57400,0
Discover,Discover,6.01144E+15,Mike C Curry,943,Aug-12,Aug-18,4,6188,153300,1
Master Card,Bank of America,5.41998E+15,Dominga L Bramblett,217,Mar-13,Mar-19,25,8684,54100,0
Master Card,Citibank,5.27216E+15,Floyd Black,74,Sep-08,Sep-12,26,2241,154900,0
Master Card,Chase,5.12909E+15,Bella G Kingston,141,May-13,May-29,22,7814,98600,0
Master Card,Chase,5.38188E+15,Ellen X Cameron,455,Sep-13,Sep-18,6,4243,182300,1
Japan Credit Bureau,JCB,3.54197E+15,Hank Hamilton,313,Dec-09,Dec-27,1,9886,127600,1
Diners Club International,Diners Club,3.01837E+13,Phyllis L Silva,705,Feb-16,Feb-36,20,5046,70600,0
Master Card,GE Capital,5.24872E+15,Ingrid D Grenier,407,Sep-10,Sep-20,23,2672,179600,1
Master Card,Chase,5.32662E+15,Micheal W Sharpe,932,Apr-14,Apr-19,1,2347,122300,0
Master Card,Chase,5.22062E+15,Deidre Y Holmberg,266,Dec-10,Dec-18,28,39,186600,0
Japan Credit Bureau,JCB,3.54436E+15,Maurice S Aguirre,997,Sep-14,Sep-23,20,3690,114200,1
Discover,Discover,6.01111E+15,Deetta N Zink,365,Apr-14,Apr-34,7,1928,195600,1
Visa,Capital One,4.3023E+15,Leroy N Bates,147,Jun-07,Jun-09,18,1514,61900,0
Diners Club International,Diners Club,3.93165E+13,Lenard J Whittier,25,Jul-12,Jul-25,23,4228,72400,0
Japan Credit Bureau,JCB,3.56527E+15,Clara N Summers,719,May-16,May-36,21,8547,60100,0
Master Card,GE Capital,5.39513E+15,Demetrius R Mathews,676,Feb-08,Feb-11,6,7585,74800,0
Master Card,Wells Fargo,5.42563E+15,Zachary I Wiggins,650,Sep-11,Sep-27,24,6363,180900,0
Visa,Chase,4.38117E+15,Latrice Z Sternberg,354,Dec-11,Dec-28,27,6726,112500,0
Visa,Chase,4.35191E+15,Kathy D Melendez,826,Jul-08,Jul-16,27,2422,126200,0
Japan Credit Bureau,JCB,3.56431E+15,Arturo H Macomber,600,Sep-08,Sep-21,23,4350,125600,0
Visa,Citibank,4.10003E+15,Dean Dyer,231,Apr-07,Apr-09,21,3394,88700,0
Discover,Discover,6.01176E+15,Alan V Storey,867,Sep-16,Sep-23,12,6152,65500,0
American Express,U.S. Bancorp,3.72285E+14,Sheila I Schwartz,4426,Jul-14,Jul-30,10,5085,145300,0
Japan Credit Bureau,JCB,3.54062E+15,Louie I Alfonso,566,Sep-10,Sep-19,15,6042,101400,0
Visa,Chase,4.96136E+15,Jerry R Atkinson,659,Sep-12,Sep-26,6,1776,109600,1
Japan Credit Bureau,JCB,3.57523E+15,Vikki S Reilly,864,Sep-08,Sep-17,16,3126,15600,0
Visa,PNC,4.46504E+15,Derrick L Marsh,220,Mar-09,Mar-23,17,297,114400,0
Master Card,Citibank,5.45241E+15,Kennith Q Soliz,644,Feb-09,Feb-10,25,4499,22900,0
Master Card,Capital One,5.47191E+15,Yvonne Z Fisher,851,May-15,May-23,24,6625,145600,1
Japan Credit Bureau,JCB,3.55111E+15,Dorcas Fairchild,96,Aug-12,Aug-27,16,428,173300,0
Visa,Citibank,4.26211E+15,Terry Albert,957,Jun-14,Jun-26,2,5348,31500,0
Japan Credit Bureau,JCB,3.54261E+15,Regena P Roche,956,Jan-14,Jan-24,15,979,98200,0
Japan Credit Bureau,JCB,3.58405E+15,Douglas Dillon,706,May-11,May-20,6,4784,107300,0
Master Card,Chase,5.3753E+15,Jaye S Massengale,398,Apr-12,Apr-20,26,5650,154000,0
Visa,Citibank,4.16285E+15,Derek F Grimes,259,Sep-10,Sep-14,26,3082,159900,1
Japan Credit Bureau,JCB,3.57012E+15,Myron G Seaton,836,Aug-08,Aug-17,8,74,119600,0
Master Card,U.S. Bancorp,5.49945E+15,Ruth W Russo,484,Jan-14,Jan-26,2,3108,11300,0
Discover,Discover,6.01161E+15,Harry W Bonnell,859,Oct-10,Oct-27,10,6357,14100,0
Discover,Discover,6.52051E+15,Norma O Whitaker,754,Jan-07,Jan-21,26,6432,199400,0
Master Card,Chase,5.14952E+15,Michelle Serra,764,Dec-16,Dec-23,19,6110,49000,0
Master Card,U.S. Bancorp,5.20087E+15,Doris Malone,675,Mar-12,Mar-26,3,9239,126600,1
Master Card,Capital One,5.23555E+15,Bernice Blackstone,397,Jan-07,Jan-20,24,7740,194800,1
American Express,American Express,3.72401E+14,Shane C Douglas,9592,Jul-12,Jul-19,25,5450,26000,0
Japan Credit Bureau,JCB,3.5593E+15,Rosario S Merida,329,Apr-08,Apr-27,19,2057,80400,0
Diners Club International,Diners Club,3.88786E+13,Derek U Harrison,334,Jul-10,Jul-17,23,4896,26100,0
American Express,American Express,3.43014E+14,Reagan D Smithers,4965,Sep-11,Sep-31,28,2773,182900,1
Visa,Chase,4.59149E+15,Jane K Owens,695,May-07,May-19,25,6838,98800,0
Master Card,Capital One,5.18822E+15,Celeste B Rhoads,606,Apr-10,Apr-18,15,933,178800,0
Visa,Capital One,4.82634E+15,Patrick Silva,142,Mar-09,Mar-29,18,1649,158800,0
Visa,USAA,4.05259E+15,Jacki O Bard,508,Jan-09,Jan-21,15,4870,69500,0
Diners Club International,Diners Club,3.02633E+13,Edith F Hubbard,255,Feb-15,Feb-31,16,5980,13400,0
Diners Club International,Diners Club,3.05614E+13,Valeri Nation,369,Nov-13,Nov-30,3,9712,48400,0
Visa,Cabelas WFB,4.70894E+15,Todd M Reynolds,168,Aug-09,Aug-27,10,9204,46000,0
Diners Club International,Diners Club,3.02161E+13,Aisha Calzada,52,Apr-09,Apr-27,5,3040,66200,0
Japan Credit Bureau,JCB,3.54955E+15,Manuel W Wilkins,450,Mar-13,Mar-30,13,1472,144800,0
American Express,American Express,3.41871E+14,Lincoln T Auld,5364,Dec-10,Dec-13,8,5727,97400,0
Japan Credit Bureau,JCB,3.57028E+15,Teresa Meyers,829,Aug-09,Aug-10,20,6180,138500,1
Diners Club International,Diners Club,3.94305E+13,Jospeh Boyett,427,Jun-14,Jun-22,22,9544,68700,0
Visa,Chase,4.34061E+15,Leo B Erickson,470,Jul-12,Jul-26,24,2156,105200,0
Master Card,Bank of America,5.49451E+15,Hayden O Roundtree,576,Jan-14,Jan-16,17,5581,169700,0
Japan Credit Bureau,JCB,3.5803E+15,Gary Suarez,647,Nov-17,Nov-25,9,3397,108100,1
Visa,GE Capital,4.33505E+15,Clark Clack,216,Jul-13,Jul-24,16,53,27700,0
American Express,U.S. Bancorp,3.79648E+14,Carrie V Lindsey,1738,Sep-07,Sep-13,26,6649,102100,0
Master Card,Barclays,5.19437E+15,Anette X Sells,750,Dec-16,Dec-26,8,6550,35300,0
Discover,Discover,6.01172E+15,Justin Griffin,488,May-15,May-23,22,9653,39200,0
Japan Credit Bureau,JCB,3.55395E+15,Ann Wadley,820,Apr-09,Apr-19,22,6299,177500,0
Discover,Discover,6.01179E+15,Vanessa N Rutledge,763,Nov-08,Nov-18,23,5372,61600,0
Discover,Discover,6.01196E+15,Johanne P Burse,838,Apr-15,Apr-33,13,490,117900,0
Master Card,GE Capital,5.3698E+15,Shirley B Barton,132,Apr-10,Apr-22,3,2,145900,0
Discover,Discover,6.53581E+15,Natalie U Aiken,396,Oct-08,Oct-13,12,1239,172300,0
Japan Credit Bureau,JCB,3.53851E+15,Eva Turner,283,Sep-09,Sep-23,6,5087,130500,1
Discover,Discover,6.01123E+15,Wanetta L Liston,353,Jun-15,Jun-19,16,244,178800,1
Visa,Chase,4.32181E+15,Charles F Valdez,892,Mar-10,Mar-26,10,6544,157900,0
Master Card,Chase,5.37889E+15,Brant K Lafleur,138,Aug-15,Aug-19,12,6703,169700,0
Japan Credit Bureau,JCB,3.5399E+15,Jane P Brewer,652,Sep-11,Sep-15,4,5924,85400,0
Visa,USAA,4.62738E+15,Desmond Hunter,972,Nov-09,Nov-11,28,8546,140100,0
Master Card,Chase,5.24146E+15,Lloyd X Ramsey,623,Jul-08,Jul-12,14,1699,83500,0
Master Card,Bank of America,5.48657E+15,Jude L Buckingham,115,Apr-09,Apr-24,27,3556,61800,0
Visa,U.S. Bancorp,4.85436E+15,Timothy R Kent,861,May-09,May-14,1,913,119500,1
Diners Club International,Diners Club,3.0238E+13,Darrin Read,69,Jun-12,Jun-25,6,9431,194200,1
Japan Credit Bureau,JCB,3.57979E+15,Tracy G Brooks,340,Dec-12,Dec-29,16,3989,70000,0
Master Card,Citibank,5.44698E+15,Val L Curl,367,May-11,May-15,27,4353,83700,0
American Express,American Express,3.41631E+14,Marion V Charles,6437,Jun-09,Jun-28,23,8017,156700,1
Diners Club International,Diners Club,3.0028E+13,Criselda X Claar,294,Dec-12,Dec-27,22,2136,11000,0
Diners Club International,Diners Club,3.09015E+13,Janet I Cruz,245,Feb-09,Feb-18,1,6324,121600,1
American Express,American Express,3.72025E+14,Chantell N Diez,9346,Oct-08,Oct-27,27,8494,139900,0
Master Card,Bank of America,5.15399E+15,Jeffrey R Ruiz,181,Jul-17,Jul-36,18,4659,163400,1
Master Card,Citibank,5.21532E+15,Rolande A Ringer,257,Apr-10,Apr-11,28,7513,83300,0
American Express,U.S. Bancorp,3.78283E+14,Floyd D Franklin,9064,Apr-12,Apr-19,16,6778,54800,0
Visa,Chase,4.53589E+15,Sydney X Raney,3,Jul-11,Jul-30,7,9881,127200,1
Visa,Wells Fargo,4.92931E+15,Benjamin J Todd,478,May-14,May-26,14,4760,127800,0
Diners Club International,Diners Club,3.05721E+13,Drew Whitehouse,10,Jul-14,Jul-29,11,6930,78500,0
Visa,Chase,4.1942E+15,Crystal P Duffy,316,Jan-13,Jan-26,19,1871,71700,0
American Express,American Express,3.71169E+14,Mariana G Carrier,3108,Feb-09,Feb-15,4,7073,116700,0
Master Card,U.S. Bancorp,5.17574E+15,Valerie Mccoy,889,May-10,May-15,8,8264,86400,0
Visa,USAA,4.70118E+15,Tandra Dantzler,281,Apr-10,Apr-13,24,3677,88800,0
Japan Credit Bureau,JCB,3.53745E+15,Regina P Tanner,941,Jul-15,Jul-32,3,2355,50000,0
Diners Club International,Diners Club,3.03814E+13,Robbie Alexander,766,Dec-07,Dec-12,16,5946,11700,0
Diners Club International,Diners Club,3.09312E+13,Tracy E Mercer,829,Jul-17,Jul-18,2,3172,198500,1
Discover,Discover,6.50811E+15,Sandy K Reynolds,74,Apr-11,Apr-30,21,6876,28300,0
Master Card,U.S. Bancorp,5.1865E+15,Jim Gates,118,Nov-08,Nov-18,4,1489,21400,0
Visa,USAA,4.07701E+15,Sol H Stcyr,590,May-11,May-16,24,4844,14200,0
Discover,Discover,6.01139E+15,Vivian W Sosa,634,Nov-08,Nov-18,16,72,107500,0
Japan Credit Bureau,JCB,3.52905E+15,Keri M Lytle,755,Oct-11,Oct-21,10,7886,28400,0
Japan Credit Bureau,JCB,3.53221E+15,Kristen Mendoza,828,May-07,May-12,3,5825,127000,0
Discover,Discover,6.01191E+15,Lennie T Gatto,901,Jun-17,Jun-30,25,2241,188400,1
Diners Club International,Diners Club,3.00877E+13,Anne Z Cabrera,550,Jun-16,Jun-34,1,9174,60800,0
Discover,Discover,6.01159E+15,Ha Lindner,315,Jan-16,Jan-19,18,9208,119300,1
Visa,Chase,4.50622E+15,Marilyn F Warner,224,Dec-08,Dec-26,13,8484,49700,0
Diners Club International,Diners Club,3.01403E+13,Sarita Lilly,277,Aug-17,Aug-37,10,6891,71400,0
Diners Club International,Diners Club,3.01421E+13,Monica F Hill,91,Feb-10,Feb-18,3,9834,175800,1
Diners Club International,Diners Club,3.05799E+13,Rolanda O Mcculley,561,Apr-17,Apr-23,5,5890,150600,1
Diners Club International,Diners Club,3.05139E+13,Amanda E Dixon,910,Nov-11,Nov-13,25,4945,15600,0
American Express,USAA,3.40368E+14,Kathe Sterling,1893,Oct-13,Oct-17,11,490,42300,0
American Express,U.S. Bancorp,3.46291E+14,Gregory Pearson,7783,Nov-15,Nov-33,6,2595,134300,1
Master Card,USAA,5.19938E+15,Joe Jepson,687,Jan-13,Jan-17,8,9437,138000,1
Visa,Capital One,4.77685E+15,Dan M Armstrong,44,Mar-13,Mar-14,16,1318,131300,0
Master Card,Chase,5.44944E+15,Elsy M Meneses,591,Jul-13,Jul-27,13,2828,78400,0
Discover,Discover,6.01181E+15,Emily B West,34,Mar-12,Mar-23,27,3708,64600,0
Master Card,U.S. Bancorp,5.3643E+15,Elke T Lamm,349,Apr-13,Apr-24,17,4215,89000,0
Master Card,Chase,5.3996E+15,Randall Bullock,985,May-09,May-16,28,5131,149500,1
Diners Club International,Diners Club,3.09256E+13,Marnie P Lejeune,450,Nov-16,Nov-30,5,9448,78000,0
Japan Credit Bureau,JCB,3.58575E+15,Benjamin Oneill,806,Nov-16,Nov-23,2,2171,140600,0
Japan Credit Bureau,JCB,3.574E+15,Gary G Eberle,450,Sep-17,Sep-31,21,6357,64200,0
Discover,Discover,6.01141E+15,Loretta Keith,537,Apr-07,Apr-13,19,8609,42100,0
Japan Credit Bureau,JCB,3.55336E+15,Frankie Z Welton,52,Aug-08,Aug-09,28,1801,42400,0
American Express,Bank of America,3.70544E+14,Sue V Spence,6536,Mar-12,Mar-32,4,9257,37900,0
Discover,Discover,6.01124E+15,Lizette Carreon,711,Jul-08,Jul-24,5,5171,98100,0
Diners Club International,Diners Club,3.68146E+13,Hector C Foreman,679,Dec-10,Dec-21,14,4455,50700,0
Visa,Bank of America,4.42608E+15,Pauletta J Newby,645,Feb-14,Feb-17,14,9901,114000,1
Visa,U.S. Bancorp,4.94804E+15,Michelle Gilmore,304,Sep-08,Sep-25,7,544,148900,0
Discover,Discover,6.01184E+15,Tommie G Ware,900,Dec-12,Dec-22,15,7044,165600,0
Diners Club International,Diners Club,3.02673E+13,Philip F Garcia,279,Apr-13,Apr-24,24,4131,24200,0
Japan Credit Bureau,JCB,3.56409E+15,Jefferson P Sykes,32,Nov-09,Nov-28,9,7485,92400,0
Visa,Bank of America,4.39119E+15,Leslie Rogers,945,Mar-15,Mar-26,3,450,183900,1
Diners Club International,Diners Club,3.00211E+13,Lawana Burch,462,Aug-15,Aug-25,28,1849,197600,0
Discover,Discover,6.01124E+15,Bobby R Pearson,424,Jul-16,Jul-30,15,8643,135000,0
American Express,American Express,3.76461E+14,Doug J Salas,2679,Jun-07,Jun-19,9,9666,138200,1
Master Card,Bank of America,5.18134E+15,Pamela C Ewing,987,Jan-07,Jan-17,3,9261,100600,1
Master Card,Chase,5.41767E+15,Mel Hardin,721,Nov-13,Nov-14,1,1854,142700,1
Visa,PNC,4.42296E+15,Sara L Lopez,374,Mar-15,Mar-27,13,1815,120900,0
Discover,Discover,6.0117E+15,Milan B Bader,100,Feb-13,Feb-30,23,3090,193900,0
Discover,Discover,6.01177E+15,Audrey Knox,728,Jun-09,Jun-20,7,2664,130900,0
Master Card,Chase,5.38451E+15,Elizbeth Fifield,107,Apr-17,Apr-29,9,3122,77600,0
Discover,Discover,6.01197E+15,Jonathan Daniel,12,Dec-17,Dec-26,25,6079,96600,0
Visa,Cabelas WFB,4.69663E+15,Serina H Futch,831,Mar-08,Mar-13,2,8592,22500,0
American Express,American Express,3.7205E+14,Jeff Reese,3622,Jul-16,Jul-27,8,3777,94600,0
Discover,Discover,6.50556E+15,Willis H Dellinger,805,Mar-14,Mar-15,27,9425,174200,1
American Express,American Express,3.40481E+14,Stacy S Albert,2814,May-07,May-24,20,748,81100,0
Master Card,USAA,5.16427E+15,Issac Q Musselman,684,Nov-12,Nov-15,9,6354,54000,0
American Express,American Express,3.77282E+14,Emma C Mckinney,9144,Nov-08,Nov-12,13,7681,91900,0
Diners Club International,Diners Club,3.01409E+13,Minh Deane,856,Aug-09,Aug-27,28,8643,144100,0
Diners Club International,Diners Club,3.66168E+13,Dawn W George,497,Feb-14,Feb-28,8,2804,143500,1
Discover,Discover,6.01158E+15,Tamra Solomon,521,Mar-12,Mar-16,20,3559,188500,1
Discover,Discover,6.54901E+15,Christine B Huffman,145,May-13,May-33,1,8452,102000,1
Master Card,U.S. Bancorp,5.48846E+15,Anneliese Plunkett,300,Jul-10,Jul-29,1,1675,61500,0
American Express,USAA,3.43339E+14,Cindy X Myers,4081,Feb-07,Feb-20,4,174,25400,0
Japan Credit Bureau,JCB,3.54575E+15,Alonzo Weddle,781,Jun-12,Jun-31,21,4548,167100,1
American Express,American Express,3.7527E+14,Ruby Y Graham,233,Nov-10,Nov-29,15,8690,10000,0
Diners Club International,Diners Club,3.09454E+13,Jerrold B Scaife,223,Apr-13,Apr-30,4,3845,93000,0
Master Card,Citibank,5.45443E+15,April P Carey,237,Jun-15,Jun-20,6,7514,142200,1
American Express,American Express,3.79304E+14,Kathey S Pinkston,6909,Sep-11,Sep-29,19,3478,181400,1
Master Card,Bank of America,5.48018E+15,Henry Y Sawyer,284,Oct-07,Oct-24,24,1552,61300,0
American Express,USAA,3.78015E+14,Roseanne G Borchardt,2342,Mar-17,Mar-24,7,8806,84300,0
American Express,American Express,3.41406E+14,Shane R Alford,2415,Jan-11,Jan-29,4,4490,160200,1
Japan Credit Bureau,JCB,3.56299E+15,Genie Backman,32,Jul-13,Jul-22,14,9474,198800,0
Discover,Discover,6.01143E+15,Shannon G Beach,816,Jun-17,Jun-24,22,5284,32900,0
Visa,Barclays,4.90386E+15,Weston S Rey,633,Jul-09,Jul-21,11,4946,146000,1
Discover,Discover,6.22459E+15,Alvin Y Roberson,341,Oct-15,Oct-34,1,6561,92700,0
American Express,American Express,3.40096E+14,Richelle U Cookson,3034,Apr-12,Apr-24,28,4291,96100,0
Japan Credit Bureau,JCB,3.56656E+15,Ryan H Hall,49,Aug-11,Aug-28,25,250,163300,1
Discover,Discover,6.01144E+15,Oda H Rasmussen,773,Jul-08,Jul-19,15,4297,145000,1
Discover,Discover,6.01132E+15,Francisco S Murray,279,Oct-16,Oct-28,9,8254,112800,1
Visa,Chase,4.17737E+15,Willis O Ballenger,212,Jan-08,Jan-15,28,2465,31300,0
Diners Club International,Diners Club,3.05409E+13,Jennifer R Cruz,945,Dec-14,Dec-18,12,8466,38300,0
Visa,Wells Fargo,4.34485E+15,Francis Applewhite,969,Mar-14,Mar-33,16,3941,195200,1
Discover,Discover,6.01194E+15,Norma V Palmer,174,Mar-11,Mar-23,24,8954,33700,0
Visa,Chase,4.73485E+15,Clemente M Donner,579,May-14,May-31,2,3972,101500,1
Master Card,Citibank,5.30345E+15,Florence L Howe,984,Aug-16,Aug-34,16,5626,186300,0
Japan Credit Bureau,JCB,3.56621E+15,Loren E Overman,598,Jul-12,Jul-14,8,9913,54100,0
Master Card,Bank of America,5.24427E+15,Vivian V Sears,139,Feb-08,Feb-09,8,1177,167100,1
Discover,Discover,6.01134E+15,Justin Fleenor,812,Feb-17,Feb-25,5,9384,49100,0
Diners Club International,Diners Club,3.01193E+13,Albert Q Holcomb,688,May-15,May-20,3,5641,108700,0
Japan Credit Bureau,JCB,3.5694E+15,Clyde U Neel,12,Oct-13,Oct-24,3,3610,88200,0
Diners Club International,Diners Club,3.00273E+13,Miguel Potts,653,May-14,May-19,22,1358,137700,1
Visa,Bank of America,4.07681E+15,Palmer E Croft,990,May-15,May-16,28,7526,155700,0
Discover,Discover,6.0113E+15,Marvin K Whitley,506,Dec-08,Dec-16,28,7665,160600,0
Master Card,Chase,5.48598E+15,Van Q Valladares,209,Apr-10,Apr-15,18,697,195100,1
Master Card,Citibank,5.10344E+15,William Maxwell,77,Jan-09,Jan-26,24,3127,27500,0
Diners Club International,Diners Club,3.04722E+13,Arline Monday,327,Nov-08,Nov-10,1,5628,92900,0
Discover,Discover,6.01132E+15,Betty M Franco,563,Feb-14,Feb-27,14,5625,56200,0
Visa,USAA,4.92397E+15,Emelina T Vogel,345,Mar-17,Mar-28,18,2512,103100,1
